filename,tempo1,zero_crossing_rate_mean,zero_crossing_rate_var,rms_mean,rms_var,y_harm_mean,y_harm_var,y_perc_mean,y_perc_var,spectral_centroid_mean,spectral_centroid_var,rolloff_mean,rolloff_var,chroma_stft_mean,chroma_stft_var,spectral_bandwidth_mean,spectral_bandwidth_var,label,mfcc_mean_1,mfcc_mean_2,mfcc_var_1,mfcc_var_2
450-슈퍼스타-미도와 파라솔.mp3,112.34714673913044,0.08752213964056448,0.07986201471330201,0.21922225,0.010912881,0.000154315,0.036655445,0.00053417723,0.008846275,2073.1927233697843,1127005.5700360914,4543.315736260423,5936608.7681643395,0.3269811,0.088192806,2287.7997296683643,605579.5431419346,450-슈퍼스타-미도와 파라솔.mp3,0.511899,0.49740076,0.027425125,0.03012981
451-오리 날다-체리필터 (cherryfilter).mp3,161.4990234375,0.1653783430580353,0.13802834670541414,0.078405336,0.0005815571,-2.5045995e-07,0.0032683602,-9.828428e-06,0.0014877586,2822.874539795583,286043.0873440415,5327.5958944436425,1193238.1864682606,0.41427845,0.0875626,2354.4802200439544,121824.78281665038,451-오리 날다-체리필터 (cherryfilter).mp3,0.49035662,0.571781,0.025910875,0.025739187
452-비행운-문문(MoonMoon).mp3,198.76802884615384,0.05337224051320255,0.05052364445580339,0.26559916,0.008060457,-5.6224428e-05,0.06004175,-0.0005310424,0.00654826,1859.3615718011117,726291.259198257,4277.352671094702,4321552.316450156,0.26183128,0.100043505,2374.9921741336484,283855.41765780543,452-비행운-문문(MoonMoon).mp3,0.5134546,0.5195955,0.028733496,0.02967367
453-마치 흘러가는 바람처럼-DAY6 (데이식스).mp3,161.4990234375,0.10199567725895946,0.09159255907944559,0.18705083,0.009593204,0.00017150238,0.028449595,-0.000105996296,0.005682022,2377.3756734191384,867901.9197458825,5270.528385972519,4266952.861501677,0.3364759,0.08529673,2437.5291962284177,466342.9538452244,453-마치 흘러가는 바람처럼-DAY6 (데이식스).mp3,0.4873843,0.483045,0.028800318,0.027565064
454-기억을 걷는 시간-넬(NELL).mp3,89.10290948275862,0.08134117423632577,0.07472478761018148,0.1767431,0.0063083787,-1.4217578e-06,0.023472723,-0.00021036778,0.0076182825,2155.6564854054022,1059798.4221706295,4693.456756068953,4711327.440463421,0.28407842,0.090868965,2440.150231196364,341296.4966340419,454-기억을 걷는 시간-넬(NELL).mp3,0.5186603,0.48603028,0.030569848,0.029191086
455-한시 오분 (1C05)-검정치마.mp3,172.265625,0.06373828420256991,0.05967571532948225,0.26346958,0.009249394,-0.008479021,0.049600452,-0.00567455,0.011004868,1744.14262435285,373137.80270381307,3830.572670384457,2481375.59970325,0.34160057,0.08901717,2254.779205402107,180374.4525994143,455-한시 오분 (1C05)-검정치마.mp3,0.54463184,0.5192435,0.028576199,0.03315061
456-장난 아닌데-DAY6 (데이식스).mp3,123.046875,0.11517012850561707,0.10190597000561676,0.2730572,0.006018766,-7.1504415e-05,0.045239996,-0.00045847576,0.013632302,2441.6025618591734,400719.3847358062,5088.634669542714,1723846.2733430744,0.34438965,0.090129316,2424.936364357308,132331.35511872816,456-장난 아닌데-DAY6 (데이식스).mp3,0.5314677,0.49859253,0.02952789,0.027122356
457-해와 달처럼-DAY6 (데이식스).mp3,143.5546875,0.11489646581142814,0.10169526795547155,0.2609756,0.0134047605,-1.8053981e-05,0.03940159,-0.00045874636,0.019848155,2460.4159401216666,539658.6998766531,5191.588731387398,2450540.8265460622,0.33960143,0.08725572,2458.1719982515465,144542.9775106357,457-해와 달처럼-DAY6 (데이식스).mp3,0.51211035,0.50305265,0.026120944,0.030416397
458-난춘 (亂春)-새소년.mp3,95.703125,0.0930204767292086,0.08436766763827938,0.13294306,0.0029889762,1.0703138e-06,0.013616501,3.1607597e-05,0.0025806807,2114.622389919903,519608.3281233289,4561.3317662949785,2691418.6797880493,0.29397225,0.08662924,2247.5578220148604,285515.0714572853,458-난춘 (亂春)-새소년.mp3,0.48535213,0.49855968,0.03602031,0.02762758
459-잘 부탁드립니다-익스(Ex).mp3,107.666015625,0.11838107792136462,0.10436699831154055,0.17927489,0.0068901256,-1.76433e-05,0.017233461,1.8037557e-05,0.0104583455,2266.0668499691255,802286.0291558137,4761.963957223091,3612707.8294381686,0.3825599,0.085980974,2317.530606955215,348609.5265768685,459-잘 부탁드립니다-익스(Ex).mp3,0.48665547,0.48798606,0.028798375,0.028810583
